fecha_ocurrencia,ramo,cliente_id,monto_reclamacion
2018-01-01,Auto,C003874,25690.3
2018-01-01,Auto,C000756,24195.03
2018-01-01,Vida,C004535,150428.5
2018-01-01,Gastos Médicos,C002407,41080.55
2018-01-01,Daños,C005122,74333.7
2018-01-01,Daños,C000685,185092.94
2018-01-01,Daños,C005354,86546.45
2018-01-01,Auto,C005311,23844.72
2018-01-01,Gastos Médicos,C004959,36104.73
2018-01-01,Daños,C000210,137875.83
2018-01-01,Daños,C002076,145114.4
2018-01-01,Auto,C007793,26523.01
2018-01-01,Auto,C000850,22042.06
2018-01-01,Gastos Médicos,C006439,30151.86
2018-01-01,Auto,C004990,86434.75
2018-01-01,Gastos Médicos,C002516,39179.69
2018-01-01,Gastos Médicos,C003170,30383.3
2018-01-02,Gastos Médicos,C006506,30392.11
2018-01-02,Auto,C006416,23093.94
2018-01-02,Vida,C007846,130788.48
2018-01-02,Gastos Médicos,C001883,36474.33
2018-01-02,Vida,C006444,214565.41
2018-01-02,Auto,C000939,68903.5
2018-01-02,Auto,C006429,20792.06
2018-01-02,Daños,C004586,53520.1
2018-01-02,Auto,C004347,21794.4
2018-01-02,Vida,C004819,128441.91
2018-01-02,Auto,C004982,25232.71
2018-01-02,Auto,C002089,25136.2
2018-01-02,Auto,C006625,58190.04
2018-01-02,Gastos Médicos,C001795,62534.98
2018-01-03,Auto,C006758,30028.0
2018-01-03,Daños,C003019,101372.62
2018-01-03,Daños,C003561,132072.06
2018-01-03,Gastos Médicos,C003869,40187.37
2018-01-03,Auto,C004725,20339.91
2018-01-03,Daños,C004598,133663.28
2018-01-03,Gastos Médicos,C000420,40031.52
2018-01-03,Daños,C004769,78038.12
2018-01-03,Daños,C004566,93065.81
2018-01-03,Daños,C007754,62893.72
2018-01-03,Vida,C002725,269496.13
2018-01-04,Auto,C003630,49666.85
2018-01-04,Auto,C002604,37870.0
2018-01-04,Gastos Médicos,C000258,34573.7
2018-01-04,Gastos Médicos,C002690,56853.35
2018-01-04,Auto,C004728,21966.21
2018-01-04,Vida,C007029,199345.53
2018-01-04,Gastos Médicos,C003192,30886.44
2018-01-04,Auto,C001100,22504.0
2018-01-04,Gastos Médicos,C000562,83526.93
2018-01-04,Daños,C000008,307930.04
2018-01-04,Vida,C003046,483289.77
2018-01-04,Auto,C003773,41382.74
2018-01-04,Auto,C005332,25788.15
2018-01-04,Daños,C007905,71234.82
2018-01-04,Auto,C004929,22718.25
2018-01-05,Auto,C004109,95344.91
2018-01-05,Gastos Médicos,C005633,36642.8
2018-01-05,Vida,C001468,403204.44
2018-01-05,Daños,C004597,66854.21
2018-01-05,Daños,C007020,129834.21
2018-01-05,Gastos Médicos,C006859,33638.26
2018-01-05,Auto,C004809,23553.39
2018-01-05,Auto,C000217,29848.65
2018-01-05,Auto,C007379,27753.07
2018-01-05,Daños,C007478,52557.87
2018-01-06,Auto,C003828,36923.04
2018-01-06,Daños,C003328,62442.53
2018-01-06,Vida,C005638,158861.05
2018-01-06,Auto,C002943,26720.43
2018-01-06,Auto,C004367,102521.34
2018-01-06,Daños,C007863,132375.04
2018-01-06,Daños,C007441,330026.77
2018-01-06,Daños,C003658,80717.46
2018-01-06,Auto,C005497,73455.16
2018-01-06,Auto,C000312,22463.37
2018-01-06,Gastos Médicos,C005261,45828.7
2018-01-06,Vida,C006107,158753.71
2018-01-06,Auto,C005407,28239.58
2018-01-06,Daños,C002451,53454.55
2018-01-07,Daños,C006329,181366.84
2018-01-07,Gastos Médicos,C003895,32050.19
2018-01-07,Auto,C003173,27471.43
2018-01-07,Vida,C005426,136313.97
2018-01-07,Auto,C003495,29088.07
2018-01-07,Auto,C006013,34852.65
2018-01-07,Gastos Médicos,C000503,66729.0
2018-01-07,Auto,C005485,21376.62
2018-01-07,Auto,C002202,33919.1
2018-01-07,Gastos Médicos,C004976,36447.2
2018-01-07,Auto,C004912,29286.97
2018-01-07,Gastos Médicos,C007801,32413.24
2018-01-07,Vida,C006809,260177.27
2018-01-07,Gastos Médicos,C003879,32454.78
2018-01-07,Auto,C005960,51008.84
2018-01-07,Daños,C007792,236374.02
2018-01-08,Auto,C005156,37397.33
2018-01-08,Auto,C000658,38209.5
2018-01-08,Auto,C001783,21894.84
2018-01-08,Auto,C002731,21752.27
2018-01-08,Daños,C006945,52364.87
2018-01-08,Auto,C005006,27320.51
2018-01-08,Gastos Médicos,C006843,40658.13
2018-01-08,Gastos Médicos,C001751,34006.79
2018-01-08,Daños,C004977,417627.65
2018-01-08,Daños,C000468,435045.07
2018-01-08,Gastos Médicos,C006482,164950.59
2018-01-08,Auto,C006154,42251.85
2018-01-08,Auto,C006983,44921.56
2018-01-08,Daños,C006222,88765.76
2018-01-08,Vida,C003541,340958.8
2018-01-08,Auto,C007232,23744.2
2018-01-08,Auto,C001943,21270.38
2018-01-08,Auto,C005549,25607.91
2018-01-08,Auto,C006505,29742.94
2018-01-09,Auto,C002416,68983.32
2018-01-09,Auto,C003768,26338.69
2018-01-09,Auto,C004533,20910.56
2018-01-09,Gastos Médicos,C005282,78301.03
2018-01-09,Daños,C007626,92566.57
2018-01-09,Gastos Médicos,C006220,39626.76
2018-01-09,Daños,C001514,50473.13
2018-01-09,Daños,C005219,109329.61
2018-01-09,Auto,C007832,23079.98
2018-01-10,Auto,C001511,34443.68
2018-01-10,Daños,C007266,59836.84
2018-01-10,Auto,C006617,25590.44
2018-01-10,Gastos Médicos,C002533,51660.98
