PolizaID,A̱o,Ramo,Moneda,NumeroAsegurados,PrimaPoliza,PrimaRetenida,PrimaCedida,DuracionOriginal_dias,TiempoTranscurrido_dias,DuracionRemanente_dias,PrimaDevengadaBEL
POL-000001,2024,CAU,MXN,5,1354872.98,812923.788,541949.192,437,100,337,310039.58
POL-000002,2024,AUF,USD,2,2812582.05,1687549.23,1125032.82,503,134,369,749276.33
POL-000003,2022,RCV,MXN,6,4893306.78,2935984.068,1957322.712,153,136,17,4349606.03
POL-000004,2024,RCV,MXN,3,953907.04,572344.224,381562.816,270,40,230,141319.56
POL-000005,2023,INC,MXN,8,4837574.88,2902544.928,1935029.952,407,14,393,166403.07
POL-000006,2024,AUI,MXN,3,1436442,861865.2,574576.8,654,184,470,404136.59
POL-000007,2024,AUI,MXN,7,2982011.62,1789206.972,1192804.648,298,269,29,2691815.86
POL-000008,2023,AUI,MXN,2,3687274.99,2212364.994,1474909.996,571,222,349,1433581.52
POL-000009,2025,CAU,MXN,5,2593605.73,1556163.438,1037442.292,662,445,217,1743435.88
POL-000010,2022,AUI,MXN,5,4825226.01,2895135.606,1930090.404,69,20,49,1398616.23
POL-000011,2023,RCV,USD,3,69146.53,41487.918,27658.612,455,166,289,25227.09
POL-000012,2021,CAU,USD,2,4603246.34,2761947.804,1841298.536,457,410,47,4129827.13
POL-000013,2021,CAU,USD,4,2406477.39,1443886.434,962590.956,584,125,459,515085.06
POL-000014,2021,AUI,USD,6,4613407.84,2768044.704,1845363.136,684,431,253,2906986.52
POL-000015,2025,AUF,USD,2,404831.16,242898.696,161932.464,629,154,475,99116.06
POL-000016,2022,INC,MXN,4,1445036.88,867022.128,578014.752,227,42,185,267363.65
POL-000017,2025,AUI,MXN,3,2482852.1,1489711.26,993140.84,63,43,20,1694645.08
POL-000018,2022,RCV,MXN,5,335251.82,201151.092,134100.728,577,416,161,241706.68
POL-000019,2024,DMI,MXN,4,1867703.48,1120622.088,747081.392,248,7,241,52717.44
POL-000020,2022,DMI,MXN,3,4467183.03,2680309.818,1786873.212,645,531,114,3677634.4
POL-000021,2024,RCV,USD,6,3220478.26,1932286.956,1288191.304,183,18,165,316768.35
POL-000022,2022,CAU,MXN,3,1654788.84,992873.304,661915.536,603,239,364,655878.16
POL-000023,2023,AUF,MXN,5,1822981.63,1093788.978,729192.652,497,23,474,84363.33
POL-000024,2025,RCV,MXN,2,4402307.98,2641384.788,1760923.192,219,96,123,1929778.84
POL-000025,2021,INC,USD,6,2248610.47,1349166.282,899444.188,471,158,313,754310.94
POL-000026,2023,INC,USD,8,2230563.2,1338337.92,892225.28,111,34,77,683235.57
POL-000027,2022,INC,MXN,1,157871.92,94723.152,63148.768,700,86,614,19395.69
POL-000028,2025,AUF,USD,8,1748903.26,1049341.956,699561.304,246,70,176,497655.4
POL-000029,2023,CAU,USD,7,1845185.68,1107111.408,738074.272,137,78,59,1050543.67
POL-000030,2021,DMI,MXN,3,4088693.39,2453216.034,1635477.356,143,37,106,1057913.67
POL-000031,2022,INC,USD,4,572764.56,343658.736,229105.824,74,20,54,154801.23
POL-000032,2025,AUI,USD,7,1210582.34,726349.404,484232.936,387,21,366,65690.51
POL-000033,2024,AUF,MXN,5,1797672.7,1078603.62,719069.08,643,546,97,1526484.13
POL-000034,2023,AUI,MXN,2,2749624.25,1649774.55,1099849.7,600,213,387,976116.61
POL-000035,2024,RCV,MXN,9,2660439.06,1596263.436,1064175.624,215,151,64,1868494.41
POL-000036,2025,AUF,USD,7,1861898.03,1117138.818,744759.212,510,13,497,47460.15
POL-000037,2021,DMI,USD,9,1599591.37,959754.822,639836.548,668,18,650,43102.76
POL-000038,2024,AUI,USD,6,1495851.47,897510.882,598340.588,458,410,48,1339081.01
POL-000039,2024,RCV,MXN,10,4761060.64,2856636.384,1904424.256,172,125,47,3460073.14
POL-000040,2021,RCV,MXN,1,4175829.03,2505497.418,1670331.612,112,40,72,1491367.51
POL-000041,2025,AUI,USD,8,2119663.14,1271797.884,847865.256,540,61,479,239443.43
POL-000042,2022,INC,MXN,7,1212248.22,727348.932,484899.288,662,557,105,1019973.2
POL-000043,2024,AUF,MXN,9,3201100.58,1920660.348,1280440.232,648,565,83,2791083.07
POL-000044,2022,CAU,USD,1,370697.16,222418.296,148278.864,726,200,526,102120.43
POL-000045,2021,RCV,MXN,2,1182397.97,709438.782,472959.188,331,291,40,1039510
POL-000046,2023,AUF,USD,6,2813151.4,1687890.84,1125260.56,517,414,103,2252697.64
POL-000047,2024,RCV,MXN,9,4568384.22,2741030.532,1827353.688,90,66,24,3350148.43
POL-000048,2023,AUF,USD,8,2330460.09,1398276.054,932184.036,144,108,36,1747845.07
POL-000049,2023,AUF,USD,5,627410.39,376446.234,250964.156,494,290,204,368317.84
POL-000050,2022,CAU,USD,5,3147421.65,1888452.99,1258968.66,644,181,463,884601.43
POL-000051,2025,CAU,USD,1,3470619.35,2082371.61,1388247.74,550,341,209,2151784
POL-000052,2022,CAU,USD,1,1080770.47,648462.282,432308.188,467,188,279,435085.33
POL-000053,2025,INC,MXN,2,4591815.53,2755089.318,1836726.212,268,129,139,2210239.56
POL-000054,2021,AUI,MXN,10,1645304.72,987182.832,658121.888,656,137,519,343607.85
POL-000055,2022,RCV,USD,9,1054521.28,632712.768,421808.512,352,15,337,44936.99
POL-000056,2024,CAU,USD,8,4951632.28,2970979.368,1980652.912,644,576,68,4428789.12
POL-000057,2025,INC,MXN,8,4497179.96,2698307.976,1798871.984,554,163,391,1323177.5
POL-000058,2021,CAU,MXN,2,4440160.26,2664096.156,1776064.104,332,162,170,2166584.22
POL-000059,2024,DMI,MXN,7,3698654.11,2219192.466,1479461.644,717,125,592,644814.18
POL-000060,2022,RCV,MXN,8,76541.89,45925.134,30616.756,219,161,58,56270.52
POL-000061,2022,CAU,USD,3,1563429.47,938057.682,625371.788,456,83,373,284571.59
POL-000062,2025,INC,USD,1,3455061.49,2073036.894,1382024.596,422,126,296,1031606.04
POL-000063,2024,AUI,USD,7,3037215.94,1822329.564,1214886.376,569,141,428,752631.72
POL-000064,2023,CAU,USD,9,2259862.47,1355917.482,903944.988,195,128,67,1483396.9
POL-000065,2021,DMI,USD,4,1131010.95,678606.57,452404.38,479,242,237,571408.45
POL-000066,2025,INC,USD,5,4406085.99,2643651.594,1762434.396,669,235,434,1547728.26
POL-000067,2023,AUI,MXN,3,3804323.04,2282593.824,1521729.216,606,48,558,301332.52
POL-000068,2021,DMI,MXN,6,3297101.66,1978260.996,1318840.664,125,26,99,685797.15
POL-000069,2021,AUI,USD,5,3263884.96,1958330.976,1305553.984,661,255,406,1259138.68
POL-000070,2025,INC,USD,6,112012.73,67207.638,44805.092,382,201,181,58938.64
POL-000071,2021,RCV,USD,8,1182224.32,709334.592,472889.728,717,324,393,534226.89
POL-000072,2021,AUF,USD,1,709047.03,425428.218,283618.812,572,132,440,163626.24
POL-000073,2022,CAU,USD,4,240574.73,144344.838,96229.892,321,184,137,137899.53
POL-000074,2022,CAU,MXN,1,183742.31,110245.386,73496.924,202,6,196,5457.69
